RH50_0deg_O_scan1_2.Analysis-Filter
"BaryCenterX","BaryCenterY","BaryCenterZ","EqDiameter","OrientationPhi","OrientationTheta","Volume3d","Anisotropy","AspectRatio","index"
620.432,78.5995,13.563,17.457,80.4694,75.988,2785.52,0.998273,0,1
558.078,124.719,15.2594,23.7736,81.4011,88.4762,7035.34,0.999477,0,2
578.334,73.5525,19.2784,16.2173,69.6171,85.1722,2233.25,0.996563,0,5
603.876,51.0296,2.961,10.986,81.7967,75.8696,694.252,0.992497,0,8
654.593,638.607,689.737,433.897,30.8139,89.8863,4.27717e+07,0.533229,0,12
575.168,89.6719,13.4422,16.6913,73.7727,80.9572,2434.82,0.997685,0,14
722.048,101.356,46.6029,23.4567,47.1929,99.046,6757.7,0.991205,0,18
836.504,48.7085,68.6234,18.6787,7.17596,129.497,3412.22,0.998832,0,20
591.431,76.038,11.2903,15.2343,66.3622,74.5254,1851.25,0.991784,0,23
582.229,139.943,28.931,24.2542,77.383,57.495,7470.62,0.988697,0,25
623.086,94.9456,6.07541,12.841,80.7355,78.7169,1108.66,0.997971,0,29
828.64,52.3318,65.3334,16.596,7.71151,168.277,2393.36,0.999093,0,30
688.35,51.35,0,1.16311,90,90,0.823875,1,0,32
838.314,59.1087,0.670635,3.20893,84.6888,44.7301,17.3014,0.912356,0,36
937.27,63.6381,12.4222,11.0808,1.60974,154.691,712.377,0.96237,0,37
854.813,117.057,164.651,35.335,16.5023,95.6092,23100.1,0.996469,0,38
357.67,80.341,22.7617,11.6298,27.7384,122.28,823.6,0.990822,0,40
761.15,74.75,0.13,1.37902,90,45,1.37312,0.733333,0,42
638.596,142.461,5.36048,16.4777,83.3321,83.4505,2342.55,0.997854,0,43
525.318,148.393,30.5029,34.0901,88.6734,87.2219,20743.5,0.998326,0,44
452.503,86.0619,27.2842,14.7167,14.5822,56.0644,1668.9,0.992492,0,45
587.047,82.2338,0.298649,3.38577,85.5812,112.722,20.3222,0.966588,0,46
580.214,144.042,7.92555,18.6244,79.9121,78.3148,3382.56,0.996072,0,48
770.88,94.539,27.0385,15.5566,16.1285,125.325,1971.26,0.98847,0,49
463.846,108.407,80.0839,22.8474,13.9461,57.2969,6244.7,0.998033,0,52
375.11,109.22,101.376,27.7062,6.21466,100.295,11136,0.999349,0,55
764.744,141.942,142.551,23.5084,17.1685,89.2676,6802.46,0.999756,0,56
625.983,153.497,11.3929,17.6695,76.0049,82.6059,2888.51,0.996952,0,57
740.195,104.983,11.4246,10.9613,27.5106,84.2153,689.583,0.968946,0,58
792.82,100.56,28.67,14.6722,1.10473,74.6425,1653.79,0.99272,0,60
715.034,126.676,18.8509,14.0003,45.856,78.8413,1436.84,0.992727,0,64
981.476,118.258,66.9861,22.4985,8.37303,141.412,5962.93,0.99671,0,69
757.46,129.977,59.7282,20.6636,16.7758,64.8531,4619.74,0.996251,0,71
794.339,146.155,51.3041,20.3872,30.6227,76.4236,4436.84,0.996418,0,72
429.186,115.143,0,1.54269,90,121.037,1.92237,1,0,74
807.049,123.262,15.9547,13.381,13.8058,132.044,1254.49,0.96745,0,76
455.961,130.299,36.6606,18.1762,13.5672,58.0533,3144.18,0.992869,0,78
924.942,123.18,13.2115,12.4564,3.73912,80.3291,1011.99,0.957691,0,79
1008.74,153.117,108.163,20.7922,15.4564,107.564,4706.52,0.999603,0,80
957.325,129.634,111.143,24.3445,1.85314,114.054,7554.38,0.999311,0,81
775.947,151.594,82.5576,19.8286,14.0768,121.257,4082.03,0.99911,0,87
271.992,140.653,6.74283,9.05597,24.7956,82.9924,388.869,0.909699,0,89
844.583,139.451,6.29646,9.33708,18.6974,172.993,426.218,0.841477,0,90
426.531,146.113,18.3138,14.0421,19.4723,76.2923,1449.75,0.979707,0,92
766.846,218.849,383.099,42.7693,17.6315,76.7952,40963.3,0.996618,0,93
556.931,197.116,7.32591,17.1308,80.9462,74.9049,2632.28,0.996375,0,94
1050.81,148.612,51.2725,22.7174,6.8084,117.879,6138.69,0.989704,0,97
548.255,105.092,37.4487,28.9162,75.6386,79.6132,12659.7,0.989093,0,98
934.025,178.807,27.6941,15.4767,49.4379,71.6793,1941.05,0.997394,0,99
621.54,191.197,2.19605,13.0528,85.9658,128.053,1164.41,0.993696,0,105
592.788,164.145,0.45027,5.7948,86.5053,89.6316,101.886,0.982014,0,107
235.048,155.266,3.35484,3.19186,2.52651,133.808,17.0267,0.878599,0,108
311.805,161.108,40.4778,27.3346,26.6121,93.6248,10693.9,0.828535,0,109
599.058,226.93,10.9304,17.3147,79.6464,64.6938,2717.96,0.99796,0,112
833.625,169.654,3.94141,7.72521,34.7338,85.9521,241.395,0.81762,0,115
914.066,230.019,87.7386,28.7841,43.9042,71.5899,12486.9,0.990581,0,116
1010.2,177.238,33.7253,16.0725,14.3925,96.9098,2173.93,0.994595,0,117
1064.91,224.323,297.821,39.1308,9.89917,61.1924,31372.9,0.998655,0,121
1105.18,188.726,105.651,23.4995,5.89173,101.769,6794.77,0.993042,0,124
673.244,419.734,113.209,35.6851,68.1732,92.418,23793.5,0.998797,0,125
300.244,216.814,110.47,27.4819,17.2065,79.1482,10867.7,0.995106,0,127
670.094,188.783,0.496006,5.75285,88.5662,166.673,99.6889,0.969018,0,133
199.429,205.847,158.237,28.2284,7.1561,108.188,11777.6,0.99961,0,134
590.411,424.628,63.5759,33.0044,79.8648,75.3738,18824.2,0.998791,0,143
791.162,199.083,3.25766,6.77916,18.2117,74.7883,163.127,0.804647,0,147
967.322,212.853,33.5114,16.389,23.0551,119.41,2304.93,0.994506,0,150
1039.29,220.216,91.6574,19.1149,12.3733,92.0849,3656.91,0.999471,0,151
993.615,210.305,66.5221,18.1566,3.39659,67.5721,3134.02,0.99867,0,154
708.805,211.31,50.962,20.7114,3.4462,52.4832,4651.87,0.995759,0,155
661.103,404.405,19.5585,33.329,81.268,77.0674,19385,0.985238,0,160
849.495,176.934,268.125,37.0809,6.95571,132.446,26696.3,0.99924,0,162
787.749,230.837,123.438,26.9188,6.62141,83.8366,10213.3,0.999246,0,163
932.366,220.547,81.6047,22.0575,6.90593,163.242,5619.1,0.998808,0,165
290.201,225.591,34.0334,16.9484,11.8021,70.6963,2549.07,0.991345,0,166
783.357,266.783,92.6159,25.8137,28.1021,108.319,9006.33,0.998685,0,167
229.464,244.839,110.333,25.5108,12.3434,92.2824,8692.98,0.999203,0,170
990.245,221.336,15.9666,13.9528,0.899424,141.198,1422.28,0.964379,0,172
735.301,268.193,101.458,22.4591,24.2257,84.0654,5931.62,0.998991,0,174
748.457,328.153,142.88,30.0206,36.1418,86.9457,14166.3,0.999604,0,175
686.535,238.371,8.52872,12.9888,50.7054,105.967,1147.38,0.931427,0,176
727.127,249.549,115.952,29.5131,9.33916,59.559,13459.9,0.998931,0,177
165.211,248.385,44.5022,17.7875,27.0182,88.7526,2946.73,0.997073,0,178
1167.91,233.443,0.139286,1.94367,84.0284,84.3987,3.84475,0.911073,0,182
737.721,301.091,149.013,23.6292,23.8583,82.3166,6907.92,0.999789,0,184
186.779,269.452,64.4991,21.3452,26.6929,104.016,5092.1,0.998547,0,186
921.208,282.232,354.001,36.9111,6.52335,76.0919,26331,0.999922,0,188
868.15,240.612,93.5595,27.2926,3.62727,102.818,10644.7,0.996109,0,191
1103.14,289.192,64.2505,21.527,35.37,95.95,5223.37,0.998757,0,192
530.629,439.1,135.279,45.7172,74.6158,95.4373,50030.9,0.998657,0,196
655.394,776.105,64.5191,60.4297,82.7134,83.0876,115545,0.979967,0,197
165.175,247.695,6.01008,8.08333,3.26384,44.0661,276.547,0.905277,0,198
940.695,426.721,172.073,55.6498,33.9721,94.8376,90237.9,0.970878,0,200
365.811,260.056,70.6964,20.6926,8.68962,43.1358,4639.24,0.998484,0,203
730.474,294.308,53.859,20.898,36.574,93.1354,4778.75,0.998067,0,206
529.1,253.5,0.325,1.01607,0,90,0.54925,1,0,207
527.8,254.15,0.325,1.01607,0,90,0.54925,1,0,208
164.784,258.955,18.7908,11.9725,4.66461,86.9363,898.573,0.985138,0,210
881.83,280.926,61.1354,20.5434,20.6104,91.208,4539.55,0.997938,0,212
1169.26,278.51,92.7153,27.2837,9.83433,79.1185,10634.3,0.997992,0,213
987.033,260.811,10.0618,9.13417,18.5908,115.072,399.03,0.966781,0,214
921.677,277.434,5.56939,12.9148,71.2416,117.984,1127.88,0.974272,0,216
